price,time_scraped,numRooms,area,yearConstructed,state,energyClass,floor,address,geo
355.0,2020-11-03T09:43:20,2.0,25.3,2020.0,Uus,C,1.0," Krati tee 3/2, Peetri, Rae vald, Harjumaa","{'lat': 59.38804, 'lng': 24.8264919}"
300.0,2020-11-03T09:43:29,3.0,47.9,1963.0,Heas korras,,3.0," Kaevu 27A, Rääma, Pärnu linn, Pärnu, Pärnumaa","{'lat': 58.3974941, 'lng': 24.5037551}"
130.0,2020-11-03T09:43:49,1.0,9.5,1984.0,San. remont tehtud,C,5.0," Riia mnt 32, Männimäe, Viljandi, Viljandimaa","{'lat': 58.3535136, 'lng': 25.5823233}"
490.0,2020-11-03T09:43:58,3.0,52.5,1983.0,Renoveeritud,,1.0," Luha 7, Keila, Harjumaa","{'lat': 59.309887, 'lng': 24.428353}"
650.0,2020-11-03T09:44:01,2.0,58.6,2014.0,Heas korras,B,4.0," Uus-Tatari 12, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4265826, 'lng': 24.7511638}"
500.0,2020-11-03T09:44:05,1.0,20.7,1700.0,Renoveeritud,F,2.0," Lai 33, Vanalinn, Tallinn, Harjumaa","{'lat': 59.4408823, 'lng': 24.7462367}"
475.0,2020-11-03T09:44:13,2.0,59.0,2008.0,Uus,E,2.0," Veerise tn 12, Haabersti, Tallinn, Harjumaa","{'lat': 59.4427815, 'lng': 24.6054127}"
400.0,2020-11-03T09:44:54,3.0,54.3,,Renoveeritud,,1.0," Turu 7, Kesklinn, Tartu linn, Tartu, Tartumaa","{'lat': 58.3760375, 'lng': 26.7315718}"
320.0,2020-11-03T09:45:21,2.0,38.0,1969.0,San. remont tehtud,D,3.0," Anne 49, Annelinn, Tartu, Tartumaa","{'lat': 58.37749, 'lng': 26.749638688039}"
300.0,2020-11-03T09:45:26,1.0,33.0,,Renoveeritud,,4.0," Nelgi 29, Nõmme, Tallinn, Harjumaa","{'lat': 59.375417, 'lng': 24.7106314}"
120.0,2020-11-03T09:45:45,1.0,30.5,1980.0,Valmis,,5.0," Pähklimäe 11, Narva, Ida-Virumaa","{'lat': 59.386061262235, 'lng': 28.16600393864}"
550.0,2020-11-03T09:45:46,3.0,72.8,1980.0,Renoveeritud,D,3.0," Paldiski mnt 227, Harku järve ääres, Haabersti, Tallinn, Harjumaa","{'lat': 59.4093103849105, 'lng': 24.6269763095093}"
470.0,2020-11-03T09:46:06,2.0,55.0,2005.0,Heas korras,,3.0," Pilve 4 4-27, Uus Maailm, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4279265, 'lng': 24.728799}"
420.0,2020-11-03T09:46:11,3.0,64.0,1980.0,Heas korras,,3.0," Kivila 34, Mustakivi, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4449641, 'lng': 24.8748006}"
500.0,2020-11-03T09:46:13,2.0,50.4,2008.0,Heas korras,,7.0," Sipelga 3a, Mustamäe, Tallinn, Harjumaa","{'lat': 59.4064721, 'lng': 24.6985596}"
380.0,2020-11-03T09:46:17,1.0,19.0,2018.0,Uus,B,3.0," Kauba 10, Kitseküla, Kesklinn, Tallinn, Harjumaa","{'lat': 59.418463309497, 'lng': 24.7425735491821}"
399.0,2020-11-03T09:46:30,2.0,25.0,2019.0,Uus,,," Liimi 1b, Mustamäe, Tallinn, Harjumaa","{'lat': 59.4210279, 'lng': 24.6936969}"
300.0,2020-11-03T09:46:57,1.0,22.0,1902.0,Valmis,,1.0," Tööstuse tn 25, Kalamaja, Põhja-Tallinn, Tallinn, Harjumaa","{'lat': 59.4461873, 'lng': 24.732179}"
500.0,2020-11-03T09:46:58,2.0,62.3,1956.0,Keskmine,,4.0," V. Reimani 5, Kesklinn, Tallinn, Harjumaa","{'lat': 59.436022, 'lng': 24.7621614}"
390.0,2020-11-03T09:47:03,1.0,60.0,,,,2.0," Lossi, Kesklinn, Tartu linn, Tartu, Tartumaa","{'lat': 58.3796417, 'lng': 26.7179493}"
225.0,2020-11-03T09:47:05,1.0,42.5,1778.0,Renoveeritud,,1.0," Kooli 3, Vanalinn, Haapsalu linn, Haapsalu, Läänemaa","{'lat': 58.94886924911, 'lng': 23.540124117021}"
750.0,2020-11-03T09:47:07,2.0,90.2,,Keskmine,,1.0," Rataskaevu tn 4, Vanalinn, Tallinn, Harjumaa","{'lat': 59.4374895, 'lng': 24.7429596}"
450.0,2020-11-03T09:47:18,2.0,51.0,1958.0,Heas korras,E,5.0," Narva mnt 14, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4373083, 'lng': 24.7650209}"
1000.0,2020-11-03T09:47:25,4.0,131.0,,Renoveeritud,,4.0," Roosikrantsi 9, Vanalinn, Kesklinn, Tallinn, Harjumaa","{'lat': 59.431783838411, 'lng': 24.743804752841}"
350.0,2020-11-03T09:47:31,2.0,45.0,1963.0,Valmis,D,3.0," Akadeemia tee 14, Mustamäe, Tallinn, Harjumaa","{'lat': 59.397588262376, 'lng': 24.668387192444}"
250.0,2020-11-03T09:47:32,1.0,16.2,,Renoveeritud,G,5.0," Uus-Maleva 7, Kopli, Põhja-Tallinn, Tallinn, Harjumaa","{'lat': 59.4569625, 'lng': 24.6858294}"
475.0,2020-11-03T09:47:44,2.0,35.5,2020.0,Uus,C,1.0," Oa 47, Supilinn, Tartu linn, Tartu, Tartumaa","{'lat': 58.3905089, 'lng': 26.709572}"
500.0,2020-11-03T09:47:47,1.0,30.0,,Renoveeritud,,3.0," Nunne 11b, Vanalinn, Tallinn, Harjumaa","{'lat': 59.4386235, 'lng': 24.7423687}"
780.0,2020-11-03T09:47:47,1.0,54.8,,Uus,,2.0," Uus 30, Vanalinn, Tallinn, Harjumaa","{'lat': 59.4410854, 'lng': 24.7498488}"
500.0,2020-11-03T09:47:52,3.0,60.0,,Uus,,1.0," Salu tee 41, Annelinn, Tartu linn, Tartu, Tartumaa","{'lat': 58.3804146, 'lng': 26.7830131}"
750.0,2020-11-03T09:47:52,3.0,99.6,2011.0,Uus,,1.0," Komeedi 14, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4274496, 'lng': 24.7305475}"
750.0,2020-11-03T09:47:56,4.0,75.0,,Keskmine,,2.0," Kirde 16, Nõmme, Tallinn, Harjumaa","{'lat': 59.3866159, 'lng': 24.7129229}"
450.0,2020-11-03T09:48:01,1.0,32.9,1984.0,Renoveeritud,D,5.0," Tuukri 28, Kesklinn, Tallinn, Harjumaa","{'lat': 59.439227264817, 'lng': 24.766847632541}"
